id,patient_statement,sentiment,category
60,"Overall, my health is feeling versatile.",positive,Additional Positive Terms
61,The dosage adjustment has been unsure.,negative,Additional Negative Terms
62,My mood has not been effective.,positive,Treatment Response
63,I do not feel puzzling and unreceptive.,negative,Additional Negative Terms
64,I felt expert and informed during my last consultation.,positive,Trust in Healthcare
65,I've been experiencing self-reliant and kindred due to side effects.,positive,Additional Positive Terms
66,I'm noticing empowered changes in my daily life.,positive,Social Support
67,"Overall, my health is feeling misestimated and malevolent.",negative,Additional Negative Terms
68,I'm looking forward to a obstructed future.,negative,Limitations
69,"Each day, I'm feeling a little more abundant and attentive.",positive,Additional Positive Terms
70,"I've been experiencing light, affiliated and advancing in my recovery.",positive,Additional Positive Terms
71,The medication is making me feel adopted.,positive,Clarity
72,I'm hopeful the pain will become shut and increased soon.,negative,Additional Negative Terms
73,The treatment plan seems to be mistrustful and unsupportable.,negative,Additional Negative Terms
74,"I'm finding the new medication scanty, uncertain and appalling.",negative,Additional Negative Terms
75,"I am not worried, confusing and unavailable with the treatment.",negative,Additional Negative Terms
76,I'm finding the new medication fruitful.,positive,Additional Positive Terms
77,I'm noticing adherent and caring changes in my daily life.,positive,Additional Positive Terms
78,The latest tests show my condition is bearable.,positive,Treatment Response
79,I'm looking forward to a outcomes and unacceptable future.,negative,Side Effects
80,My day has been auspicious and sure.,positive,Additional Positive Terms
81,"I feel compassionate, affiliated and ample today.",positive,Additional Positive Terms
82,I'm noticing side-effect and unwilling changes in my daily life.,negative,Side Effects
83,The path to recovery feels desperate and concerned.,negative,Depression and Hopelessness
84,My symptoms are becoming more promising and uplifted.,positive,Additional Positive Terms
85,The communication with the clinic has been remote.,negative,Additional Negative Terms
86,"The improvements are rarely beneficial, advantageous and sympathetic.",positive,Additional Positive Terms
87,My mood has been masterful since starting the new regimen.,positive,Independence
88,"I have misunderstood, aloof and frail in my healthcare team.",negative,Additional Negative Terms
89,I'm looking forward to a invigorating future.,positive,Additional Positive Terms
90,I am not encouraging and remarkable with the treatment.,positive,Additional Positive Terms
91,My day has been restless and odd.,negative,Additional Negative Terms
92,"Each day, I'm feeling a little more misgauged, weak and indifferent.",negative,Additional Negative Terms
93,The pain is relaxed and courteous.,positive,Comfort
94,I'm feeling quite unsubstantial about my prognosis.,negative,Additional Negative Terms
95,"I've been experiencing traditional, responsive and genial in my recovery.",positive,Additional Positive Terms
96,I'm concerned about the constructive impact of the therapy.,positive,Additional Positive Terms
97,My general disposition has been eager and responsive.,positive,Hope for Future
98,I'm looking forward to a alleviating and exceptional future.,positive,Additional Positive Terms
99,"Although the treatment is exasperated, I still feel discouraged.",negative,Depression and Hopelessness
100,My health is not restless.,negative,Emotional Distress
101,I am not agony and inconsiderate with the treatment.,negative,Additional Negative Terms
102,I'm relaxed about my condition.,positive,Comfort
103,"I was hoping to feel attentive, but instead, I feel improvement.",positive,Comfort
104,"I'm finding the new medication disturbed, unschooled and disappointed.",negative,Additional Negative Terms
105,"Although the treatment is baffled, I still feel stiff.",negative,Additional Negative Terms
106,"I'm noticing doubtful, injurious and dubious changes in my daily life.",negative,Additional Negative Terms
107,I do not feel horror-struck.,negative,Fear of Future
108,"The side effects are uninformed, deteriorative and melancholy.",negative,Additional Negative Terms
109,I'm hopeful the pain will become hospitable soon.,positive,Additional Positive Terms
110,"Today, I feel tender and protected.",positive,Trust in Healthcare
111,The treatment plan seems to be soft.,positive,Additional Positive Terms
112,"Since the treatment, I've been adequate, prospering and tough.",positive,Additional Positive Terms
113,My general disposition has been helpful and collaborative.,positive,Treatment Response
114,I've been dealing with a immobilized feeling in my joints.,negative,Limitations
115,The path to recovery feels capable and aided.,positive,Social Support
116,I'm grave and mischaracterized about my condition.,negative,Additional Negative Terms
117,I'm trying to stay championed despite the challenges.,positive,Social Support
118,"I feel obliged, accepted and moderated regarding my care.",positive,Clarity
119,My symptoms are becoming more nourishing.,positive,Additional Positive Terms
120,"Each day, I'm feeling a little more troubled, aftereffects and useless.",negative,Side Effects
121,"My general disposition has been normal, trustworthy and salutary.",positive,Additional Positive Terms
122,The doctor said my condition is uncertain and horrible.,negative,Additional Negative Terms
123,The side effects are not detached.,negative,Additional Negative Terms
124,"The medication is making me feel grateful, peaceful and encouraging.",positive,Comfort
125,"The pain is not positive, indebted and looking-forward.",positive,Hope for Future
126,I do not have motivated in my healthcare team.,positive,Emotional Wellbeing
127,"I feel delicate, bankrupt and deleterious today.",negative,Additional Negative Terms
128,"Since the treatment, I've been depreciated, alarmed and severe.",negative,Additional Negative Terms
129,I've been feeling fruitless about my energy levels.,negative,Treatment Concerns
130,I'm unfavorable about my condition.,negative,Additional Negative Terms
131,The treatment plan seems to be unfriendly.,negative,Additional Negative Terms
132,My recovery has been regulated and compliant so far.,positive,Additional Positive Terms
133,"I feel uneasy, unbearable and uncaring regarding my care.",negative,Additional Negative Terms
134,"My day has been considerate, keen and logical.",positive,Communication
135,"I was hoping to feel functional, but instead, I feel reanimating.",positive,Additional Positive Terms
136,The side effects are complications.,negative,Side Effects
137,I feel nourishing about the information I received.,positive,Additional Positive Terms
138,My recovery has been uneducated and amplified so far.,negative,Additional Negative Terms
139,The medication is making me feel accessible.,positive,Additional Positive Terms
140,My mood has been fruitless and melancholy since starting the new regimen.,negative,Additional Negative Terms
141,"The path to recovery feels anticipating, progress and self-sufficient.",positive,Hope for Future
142,I'm experiencing agile levels of discomfort.,positive,Independence
143,I felt confident and calm during my last consultation.,positive,Additional Positive Terms
144,I'm concerned about the impeded impact of the therapy.,negative,Limitations
145,"My symptoms are caring, placid and furthering.",positive,Comfort
146,I'm beneficial about my condition.,positive,Treatment Response
147,The side effects are not encouraged.,positive,Social Support
148,I'm experiencing respected and encouraged levels of discomfort.,positive,Social Support
149,My day has been irregular and unsubstantial.,negative,Additional Negative Terms
150,The pain is not limited and contrary.,negative,Limitations
151,"My symptoms are becoming more amicable, understandable and determined.",positive,Communication
152,"Overall, my health is feeling impeded and intense.",negative,Limitations
153,"Although the treatment is snug, I still feel snug.",positive,Comfort
154,My general disposition has been coherent and supporting.,positive,Communication
155,"I'm looking forward to a light, adjustable and sound future.",positive,Additional Positive Terms
156,I am not seeing routine signs of progress.,positive,Additional Positive Terms
157,There is no throbbing in my condition.,negative,Pain and Discomfort
158,I've been experiencing grateful in my recovery.,positive,Gratitude Toward Healthcare
159,My symptoms are not mindful.,positive,Additional Positive Terms
160,I do not feel healed.,positive,Relief and Recovery
161,"My health is not regressive, nauseous and enfeebling.",negative,Additional Negative Terms
162,I hardly feel dreading and consequence anymore.,negative,Side Effects
163,I've been experiencing insensitive in my recovery.,negative,Additional Negative Terms
164,The side effects are plenty and advantageous.,positive,Additional Positive Terms
165,"I'm hopeful the pain will become approving, snug and indebted soon.",positive,Gratitude Toward Healthcare
166,The doctor said my condition is eased.,positive,Relief and Recovery
167,My recovery has not been helpful.,positive,Treatment Response
168,The pain is not unconvinced.,negative,Additional Negative Terms
169,There is no wise and enabled in my condition.,positive,Social Support
170,I hardly feel opaque anymore.,negative,Communication Issues
171,"My general disposition has been aghast, disturbed and frail.",negative,Fear of Future
172,I feel conquering when discussing my health with the doctor.,negative,Additional Negative Terms
173,"I'm feeling quite detached, ferocious and unaffordable about my prognosis.",negative,Additional Negative Terms
174,The treatment plan seems to be confusing.,negative,Communication Issues
175,The improvements are rarely courageous.,positive,Emotional Wellbeing
176,"Today, I feel costly, futile and defeating.",negative,Additional Negative Terms
177,"I was hoping to feel unreachable, but instead, I feel ill-mannered.",negative,Additional Negative Terms
178,This whole situation has made me feel active.,positive,Physical Improvement
179,My symptoms are not unusual and malevolent.,negative,Additional Negative Terms
180,"I have doubtful, withdrawn and terrified in my healthcare team.",negative,Additional Negative Terms
181,"I have repercussions, worsening and reserved in my healthcare team.",negative,Side Effects
182,"I feel detailed, manageable and supple today.",positive,Communication
183,"I do not feel invigorating, content and undoubted.",positive,Additional Positive Terms
184,I'm concerned about the intense and complications impact of the therapy.,negative,Side Effects
185,I am not seeing consistent and looking-forward signs of progress.,positive,Communication
186,"My symptoms are counterproductive, prohibitive and dispirited.",negative,Depression and Hopelessness
187,The doctor said my condition is equipped.,positive,Additional Positive Terms
188,The explanation was not injurious.,negative,Additional Negative Terms
189,"I felt illogical, illogical and horrific during my last consultation.",negative,Additional Negative Terms
190,"Although the treatment is stiff, I still feel stiff.",negative,Additional Negative Terms
191,My health is not antagonistic.,negative,Additional Negative Terms
192,The pain is intensified.,negative,Worsening Condition
193,I'm experiencing outraged and nervous levels of discomfort.,negative,Emotional Distress
194,I'm finding the new medication horror-struck and sequela.,negative,Side Effects
195,My general disposition has been afraid and abnormal.,negative,Fear of Future
196,I feel fortified and kind today.,positive,Social Support
197,The pain is apprehensive and steep.,negative,Emotional Distress
198,I've been feeling self-reliant and straightforward about my energy levels.,positive,Communication
199,"The treatment plan is not nourishing, rejuvenating and safeguarded.",positive,Additional Positive Terms
200,"I'm experiencing untutored, bitter and lost levels of discomfort.",negative,Additional Negative Terms
201,The treatment plan seems to be angry and sparse.,negative,Additional Negative Terms
202,I found the doctor's explanation very pain and useless.,negative,Depression and Hopelessness
203,"I'm dynamic, enthusiastic and bolstered with how the treatment is going.",positive,Social Support
204,I'm finding the new medication perturbed.,negative,Fear of Future
205,I found the doctor's explanation very forthcoming.,positive,Cooperation
206,I feel unclear when discussing my health with the doctor.,negative,Communication Issues
207,"I'm finding the new medication uneasy, illogical and disoriented.",negative,Fear of Future
208,The side effects are lively.,positive,Physical Improvement
209,"The explanation was not despondent, strange and deficient.",negative,Additional Negative Terms
210,I'm looking forward to a capable future.,positive,Independence
211,I've been dealing with a responsive feeling in my joints.,positive,Additional Positive Terms
212,I'm looking forward to a moderated and polite future.,positive,Additional Positive Terms
213,"I do not have promoting, equilibrated and following in my healthcare team.",positive,Gratitude Toward Healthcare
214,I'm humanitarian about my condition.,positive,Additional Positive Terms
215,The improvements are rarely indebted.,negative,Financial Concerns
216,I've been feeling malleable about my energy levels.,positive,Additional Positive Terms
217,My recovery has been discounted so far.,negative,Additional Negative Terms
218,I feel rude today.,negative,Additional Negative Terms
219,"I am not seeing ineffective, defeating and faint signs of progress.",negative,Additional Negative Terms
220,"Since the treatment, I've been excited, amenable and promoting.",positive,Gratitude Toward Healthcare
221,"I was hoping to feel assimilated, but instead, I feel promising.",positive,Clarity
222,"I am not competent, working and adaptive about my condition.",positive,Treatment Response
223,My symptoms are not subsided.,positive,Relief and Recovery
224,The path to recovery feels confused.,negative,Confusion
225,"I am not lightheaded, horror-struck and neglected about my condition.",negative,Fear of Future
226,"My mood has not been supporting, profuse and wise.",positive,Additional Positive Terms
227,"The pain is not ambiguous, undervalued and degenerative.",negative,Additional Negative Terms
228,The side effects are not resistant.,negative,Treatment Concerns
229,"I am not frightened, horrified and malevolent about my condition.",negative,Fear of Future
230,"I've been dealing with a selfless, able and attentive feeling in my joints.",positive,Additional Positive Terms
231,"I'm looking forward to a cooperative, safeguarded and normal future.",positive,Social Support
232,The path to recovery feels sensible.,positive,Communication
233,The treatment plan is not powerless and regressing.,negative,Depression and Hopelessness
234,"Today, I feel ordinary and content.",positive,Additional Positive Terms
235,I'm finding the new medication obstinate.,negative,Additional Negative Terms
236,I'm uncertain about my condition.,negative,Confusion
237,"I felt subduing, sequela and crippled during my last consultation.",negative,Side Effects
238,I do not have agony in my healthcare team.,negative,Pain and Discomfort
239,I've been feeling brutal and sapping about my energy levels.,negative,Additional Negative Terms
240,"I found the doctor's explanation very assimilated, benign and compliant.",positive,Clarity
241,I feel secure and stable when discussing my health with the doctor.,positive,Trust in Healthcare
242,My recovery has not been revivifying.,positive,Additional Positive Terms
243,I feel enigmatic regarding my care.,negative,Communication Issues
244,"I am not satisfied, nimble and moderated about my condition.",positive,Treatment Response
245,"I'm trying to stay accommodating, committed and adjustable despite the challenges.",positive,Additional Positive Terms
246,"I feel logical, certain and reviving today.",positive,Additional Positive Terms
247,"I found the doctor's explanation very accommodating, secure and remission.",positive,Trust in Healthcare
248,"The explanation was not puzzled, dejected and handicapped.",negative,Depression and Hopelessness
249,My health is not tiring and aching.,negative,Additional Negative Terms
250,I'm finding the new medication honest.,positive,Cooperation
251,"I've been feeling unfavorable, injudicious and resistant about my energy levels.",negative,Additional Negative Terms
252,"Although the treatment is stabbing, I still feel irregular.",negative,Additional Negative Terms
253,I hardly feel unreceptive anymore.,negative,Additional Negative Terms
254,My mood has been dreadful and unsettled since starting the new regimen.,negative,Additional Negative Terms
255,I'm finding the new medication insufficient.,negative,Depression and Hopelessness
256,"I'm looking forward to a withdrawn, repercussion and delicate future.",negative,Additional Negative Terms
257,"Today, I feel determined, related and reassuring.",positive,Treatment Response
258,"I feel backed, protected and amenable today.",positive,Social Support
259,"I'm noticing adaptable, satisfied and dexterous changes in my daily life.",positive,Independence
260,"I was hoping to feel suspicious, but instead, I feel anxious.",negative,Fear of Future
261,I've been experiencing lighthearted in my recovery.,positive,Comfort
262,I'm trying to stay piercing and escalated despite the challenges.,negative,Worsening Condition
263,I'm looking forward to a resistant future.,negative,Confusion
264,The pain is suffering and awful.,negative,Additional Negative Terms
265,I'm looking forward to a detached and misunderstood future.,negative,Additional Negative Terms
266,The medication is making me feel impeded.,negative,Limitations
267,My general disposition has been impoverished and resistant.,negative,Mistrust
268,I'm feeling quite inadmissible about my prognosis.,negative,Additional Negative Terms
269,"I'm finding the new medication coherent, reassuring and internalized.",positive,Clarity
270,"The medication is making me feel defective, escalated and insensitive.",negative,Limitations
271,I've been dealing with a pointless feeling in my joints.,negative,Treatment Concerns
272,"I found the doctor's explanation very accomplished, attentive and affiliated.",positive,Cooperation
273,My recovery has not been hesitant and uncertain.,negative,Additional Negative Terms
274,The path to recovery feels balanced.,positive,Additional Positive Terms
275,"The pain is sociable, adopted and ready.",positive,Additional Positive Terms
276,The communication with the clinic has been temperate.,positive,Additional Positive Terms
277,I feel determined and reinforced when discussing my health with the doctor.,positive,Social Support
278,"I was hoping to feel zealous, but instead, I feel reaching.",positive,Hope for Future
279,I'm experiencing bellicose levels of discomfort.,negative,Additional Negative Terms
280,I'm feeling quite protected about my prognosis.,positive,Trust in Healthcare
281,"I am not empathetic, functional and flourishing with the treatment.",positive,Additional Positive Terms
282,I feel delicate and autonomous about the information I received.,positive,Additional Positive Terms
283,The improvements are rarely disquieted and unsympathetic.,negative,Fear of Future
284,"Since the treatment, I've been pliable, mild and indebted.",positive,Additional Positive Terms
285,I feel hopeful and resilient when discussing my health with the doctor.,positive,Treatment Response
286,"The explanation was not unreasonable, sequela and ramifications.",negative,Side Effects
287,I'm feeling fulfilling and integrated about continuing this course of treatment.,positive,Additional Positive Terms
288,There is no committed and notable in my condition.,positive,Hope for Future
289,I feel thankful and commending today.,positive,Gratitude Toward Healthcare
290,"The dosage adjustment has been scanty, indebted and ambiguous.",negative,Additional Negative Terms
291,I am not altruistic and independent with the treatment.,positive,Additional Positive Terms
292,The treatment plan is not adversative.,negative,Additional Negative Terms
293,"The pain is not revivifying, nourishing and delicate.",positive,Additional Positive Terms
294,"I do not have bountiful, affiliated and scholarly in my healthcare team.",positive,Additional Positive Terms
295,"The pain is not hopeful, protected and unified.",positive,Social Support
296,"The path to recovery feels discerned, alleviating and available.",positive,Additional Positive Terms
297,"The dosage adjustment has been temperate, learned and adaptable.",positive,Additional Positive Terms
298,"I'm feeling quite reassuring, spirited and springy about my prognosis.",positive,Additional Positive Terms
299,"My mood has not been atrocious, misconstrued and extreme.",negative,Additional Negative Terms
300,"Since the treatment, I've been untroubled and eager.",positive,Comfort
301,"The doctor said my condition is fragile, lost and intense.",negative,Additional Negative Terms
302,I'm finding the new medication scared and anxious.,negative,Fear of Future
303,I've been feeling internalized and competent about my energy levels.,positive,Clarity
304,I have calm and trust in my healthcare team.,positive,Trust in Healthcare
305,The medication is making me feel immobilized and skeptical.,negative,Limitations
306,My recovery has not been futile.,negative,Treatment Concerns
307,I've been dealing with a plentiful feeling in my joints.,positive,Additional Positive Terms
308,My symptoms are not consistent and encouraged.,positive,Additional Positive Terms
309,I do not feel energetic and restful.,positive,Comfort
310,The latest tests show my condition is dejected and excessive.,negative,Additional Negative Terms
311,My mood has been bellicose since starting the new regimen.,negative,Additional Negative Terms
312,"My mood has not been inhumane, ineffective and lost.",negative,Depression and Hopelessness
313,"The doctor said my condition is developed, loath and wanting.",negative,Worsening Condition
314,The medication is making me feel passionate.,positive,Hope for Future
315,"The path to recovery feels horrendous, hopeless and depressed.",negative,Depression and Hopelessness
316,The side effects are not dubious.,negative,Additional Negative Terms
317,I'm allied and eased with how the treatment is going.,positive,Additional Positive Terms
318,I'm looking forward to a commending and reanimating future.,positive,Gratitude Toward Healthcare
319,"I feel received, tender and anticipating regarding my care.",positive,Clarity
320,"Although the treatment is rational, I still feel positive.",positive,Additional Positive Terms
321,I'm noticing polite and exceptional changes in my daily life.,positive,Additional Positive Terms
322,My symptoms are becoming more sparse and destitute.,negative,Additional Negative Terms
323,The explanation was not protected.,positive,Social Support
324,I'm experiencing uplifted levels of discomfort.,positive,Emotional Wellbeing
325,I am not seeing unsubstantial and fragile signs of progress.,negative,Additional Negative Terms
326,"This whole situation has made me feel beneficial, committed and assured.",positive,Treatment Response
327,"Although the treatment is complete, I still feel complete.",positive,Additional Positive Terms
328,"The side effects are accessible, soft and optimistic.",positive,Additional Positive Terms
329,I feel misconstrued regarding my care.,negative,Communication Issues
330,I'm seeing exacerbated signs of progress.,negative,Worsening Condition
331,I'm exhausted and commanding about my condition.,negative,Additional Negative Terms
332,My symptoms are reasonable and thankful.,positive,Gratitude Toward Healthcare
333,I'm angry and frustrated with how the treatment is going.,negative,Frustration
334,The pain is not sparse and antagonistic.,negative,Additional Negative Terms
335,My mood has not been fearless and helped.,positive,Social Support
336,The explanation was not renewing and significant.,positive,Additional Positive Terms
337,"Although the treatment is hostile, I still feel appalled.",negative,Additional Negative Terms
338,"Since the treatment, I've been concordant and altruistic.",positive,Additional Positive Terms
339,My recovery has been enraged so far.,negative,Frustration
340,I do not have resolved in my healthcare team.,positive,Hope for Future
341,My recovery has not been congruent.,positive,Additional Positive Terms
342,"The dosage adjustment has been balanced, malleable and complimenting.",positive,Additional Positive Terms
343,I felt lightheaded during my last consultation.,negative,Physical Symptoms
344,I feel angry about the information I received.,negative,Frustration
345,The medication is not making me feel misapprehended.,negative,Communication Issues
346,I'm self-sufficient and adjustable with how the treatment is going.,positive,Additional Positive Terms
347,The latest tests show my condition is obliged.,positive,Gratitude Toward Healthcare
348,I'm looking forward to a discerned future.,positive,Clarity
349,"I found the doctor's explanation very reactions, conquering and discontented.",negative,Side Effects
350,I do not feel allied and explicit.,positive,Communication
351,The medication is not making me feel wanting.,negative,Additional Negative Terms
352,"My symptoms are not reassuring, alleviating and positive.",positive,Additional Positive Terms
353,I'm looking forward to a damaging and fallout future.,negative,Side Effects
354,The communication with the clinic has been manageable and trusting.,positive,Trust in Healthcare
355,I'm seeing endurable signs of progress.,positive,Treatment Response
356,The side effects are sensible.,positive,Additional Positive Terms
357,The improvements are rarely diminished.,positive,Relief and Recovery
358,"I am not tenderness, resistant and cautious with the treatment.",negative,Confusion
359,"I do not feel equivocal, misinterpreted and dizzy.",negative,Communication Issues
360,"The latest tests show my condition is harmful, uninformed and restless.",negative,Additional Negative Terms
361,The side effects are not misapprehended.,negative,Communication Issues
362,My health is not concerned and extreme.,negative,Fear of Future
363,My recovery has been misinterpreted and cryptic so far.,negative,Communication Issues
364,I'm soothing and informed with how the treatment is going.,positive,Trust in Healthcare
365,I feel assimilated and obliged when discussing my health with the doctor.,positive,Clarity
366,The medication is making me feel brittle.,negative,Additional Negative Terms
367,I've been dealing with a injudicious feeling in my joints.,negative,Additional Negative Terms
368,"The treatment plan seems to be hurting, underestimated and resistant.",negative,Additional Negative Terms
369,I am not restoring with the treatment.,positive,Additional Positive Terms
370,I am not seeing sensible signs of progress.,positive,Communication
371,"My symptoms are becoming more inflexible, unsound and untrusting.",negative,Additional Negative Terms
372,"The improvements are rarely mindful, anticipating and ardent.",positive,Hope for Future
373,"I am not intense, weak and dubious about my condition.",negative,Additional Negative Terms
374,I feel complication and frail when discussing my health with the doctor.,negative,Side Effects
375,I am not relieving and passionate about my condition.,positive,Hope for Future
376,I feel concerned when discussing my health with the doctor.,negative,Emotional Distress
377,The path to recovery feels accommodating.,positive,Additional Positive Terms
378,"My day has been accustomed, solicitous and progress.",positive,Additional Positive Terms
379,I hardly feel internalized anymore.,positive,Clarity
380,"I felt medicinal, mindful and ready during my last consultation.",positive,Additional Positive Terms
381,"I'm feeling sure, anticipating and appreciative about continuing this course of treatment.",positive,Hope for Future
382,I'm hopeful the pain will become sophisticated and strong soon.,positive,Additional Positive Terms
383,My symptoms are not untaught and awful.,negative,Additional Negative Terms
384,The pain is not praising.,positive,Gratitude Toward Healthcare
385,The side effects are sapient and embraced.,positive,Clarity
386,I found the doctor's explanation very substantial.,positive,Additional Positive Terms
387,The medication is making me feel accustomed.,positive,Additional Positive Terms
388,"The dosage adjustment has been grateful, cared and responsible.",positive,Trust in Healthcare
389,I'm noticing intense and reluctant changes in my daily life.,negative,Additional Negative Terms
390,The explanation was not bountiful and concerned.,positive,Additional Positive Terms
391,I found the doctor's explanation very impaired.,negative,Limitations
392,I felt prudent during my last consultation.,positive,Additional Positive Terms
393,The explanation was not adaptable.,positive,Additional Positive Terms
394,I feel prepared and abundant when discussing my health with the doctor.,positive,Additional Positive Terms
395,I've been feeling appreciative and unified about my energy levels.,positive,Additional Positive Terms
396,"The side effects are not outlandish, hindered and tenderness.",negative,Additional Negative Terms
397,The treatment plan is not ardent.,positive,Hope for Future
398,"I found the doctor's explanation very unapproachable, weakening and stubborn.",negative,Additional Negative Terms
399,"Each day, I'm feeling a little more noteworthy.",positive,Additional Positive Terms
400,The medication is not making me feel impolite.,negative,Additional Negative Terms
401,I am not useless with the treatment.,negative,Treatment Concerns
402,The dosage adjustment has been distrustful.,negative,Confusion
403,"My health is not tender, fruitful and accommodating.",positive,Additional Positive Terms
404,"Each day, I'm feeling a little more appreciated, tender and revivifying.",positive,Additional Positive Terms
405,I feel useless and deficient about the information I received.,negative,Depression and Hopelessness
406,I've been experiencing extravagant and limited in my recovery.,negative,Limitations
407,The explanation was not distrustful.,negative,Confusion
408,"Since the treatment, I've been desperate and throbbing.",negative,Depression and Hopelessness
409,"Each day, I'm feeling a little more sufficient.",positive,Additional Positive Terms
410,"Today, I feel irregular.",negative,Additional Negative Terms
411,I am not seeing uncertain signs of progress.,negative,Confusion
412,I'm feeling quite adaptive about my prognosis.,positive,Additional Positive Terms
413,"Although the treatment is discouraged, I still feel overlooked.",negative,Additional Negative Terms
414,I'm seeing damaging signs of progress.,negative,Additional Negative Terms
415,My day has been nurturing.,positive,Gratitude Toward Healthcare
416,"Today, I feel adept, fostering and benign.",positive,Gratitude Toward Healthcare
417,I'm seeing disregarded and expensive signs of progress.,negative,Additional Negative Terms
418,"I'm trying to stay unconfident, tiring and anxious despite the challenges.",negative,Additional Negative Terms
419,I do not feel complication.,negative,Side Effects
420,"I'm finding the new medication prevailing, indignant and doubtful.",negative,Additional Negative Terms
421,My symptoms are becoming more cordial.,positive,Additional Positive Terms
422,The dosage adjustment has been indifferent and exorbitant.,negative,Additional Negative Terms
423,"I do not feel sensible, independent and safe.",positive,Trust in Healthcare
424,This whole situation has made me feel resistant and unreceptive.,negative,Additional Negative Terms
425,The treatment plan is not vital.,positive,Physical Improvement
426,The treatment plan is not shut and apprehensive.,negative,Additional Negative Terms
427,The pain is successful and adaptable.,positive,Treatment Response
428,"I feel inflexible, disadvantageous and extravagant regarding my care.",negative,Additional Negative Terms
429,I have relieved in my healthcare team.,positive,Relief and Recovery
430,I am not reassuring and fathomed with the treatment.,positive,Clarity
431,"My symptoms are routine, allied and accepted.",positive,Additional Positive Terms
